,词语,词性种类,词义数,词义序号,情感分类,强度,极性,辅助情感分类,强度.1,极性.1,Unnamed: 10,Unnamed: 11
0,脏乱,adj,1.0,1.0,NN,7,2,,,,,
1,糟报,adj,1.0,1.0,NN,5,2,,,,,
2,早衰,adj,1.0,1.0,NE,5,2,,,,,
3,责备,verb,1.0,1.0,NN,5,2,,,,,
4,贼眼,noun,1.0,1.0,NN,5,2,,,,,
5,战祸,noun,1.0,1.0,ND,5,2,NC,5.0,2.0,,
6,招灾,adj,1.0,1.0,NN,5,2,,,,,
7,折辱,noun,1.0,1.0,NE,5,2,NN,5.0,2.0,,
8,中山狼,noun,1.0,1.0,NN,5,2,,,,,
9,清峻,adj,1.0,1.0,PH,5,0,,,,,
10,清莹,adj,1.0,1.0,PH,5,1,,,,,
11,轻倩,adj,1.0,1.0,PH,5,1,,,,,
12,晴丽,adj,1.0,1.0,PH,5,1,,,,,
13,求索,adj,1.0,1.0,PH,3,1,,,,,
14,热潮,noun,1.0,1.0,PH,5,1,,,,,
15,仁政,noun,1.0,1.0,PH,5,1,,,,,
16,荣名,noun,1.0,1.0,PH,5,1,,,,,
17,柔腻,adj,1.0,1.0,PH,5,1,,,,,
18,瑞雪,noun,1.0,1.0,PA,5,1,,,,,
19,擅名,noun,1.0,1.0,PD,7,1,,,,,
20,神采,adj,1.0,1.0,PA,5,1,PH,1.0,1.0,,
21,省便,adj,1.0,1.0,PH,5,1,,,,,
22,盛开,verb,1.0,1.0,PH,5,1,,,,,
23,盛誉,noun,1.0,1.0,PH,5,1,PA,1.0,1.0,,
24,诗仙,noun,1.0,1.0,PH,7,1,,,,,
25,爽脆,adj,1.0,1.0,PH,5,1,,,,,
26,素洁,adj,1.0,1.0,PH,3,1,,,,,
28,株连,verb,1.0,1.0,NN,7,2,,,,,
29,坠毁,verb,1.0,1.0,NB,5,2,,,,,
30,滋生,verb,1.0,1.0,NN,5,2,,,,,
31,自恃,verb,1.0,1.0,NN,5,2,,,,,
32,走后门,verb,1.0,1.0,NN,5,2,,,,,
33,阻力,noun,1.0,1.0,NN,3,2,,,,,
34,罪状,noun,1.0,1.0,NN,9,2,,,,,
35,做戏,verb,1.0,1.0,NN,7,2,,,,,
36,甜头,noun,1.0,1.0,PB,5,1,,,,,
37,头名,noun,1.0,1.0,PH,5,1,,,,,
38,婉妙,adj,1.0,1.0,PH,3,1,,,,,
39,温淑,adj,1.0,1.0,PB,1,1,,,,,
40,稳厚,adj,1.0,1.0,PH,3,1,,,,,
41,沃壤,adj,1.0,1.0,PH,5,1,,,,,
42,无上,adj,1.0,1.0,PH,5,1,,,,,
43,喜人,noun,1.0,1.0,PA,5,1,,,,,
44,先贤,noun,1.0,1.0,PD,5,1,,,,,
45,鲜妍,adj,1.0,1.0,PH,5,1,,,,,
46,相称,adj,1.0,1.0,PH,5,1,,,,,
47,骁骑,adj,1.0,1.0,PH,3,1,,,,,
48,新巧,adj,1.0,1.0,PH,5,1,,,,,
49,新意,adj,1.0,1.0,PH,5,1,,,,,
50,信奉,adj,1.0,1.0,PG,5,1,,,,,
51,急智,noun,1.0,1.0,PH,3,1,,,,,
52,技艺,noun,1.0,1.0,PH,3,1,,,,,
53,雄劲,adj,1.0,1.0,PH,3,1,,,,,
54,雄肆,adj,1.0,1.0,PH,3,1,,,,,
55,秀俊,adj,1.0,1.0,PH,5,1,,,,,
56,煦煦,adj,1.0,1.0,PH,5,1,,,,,
57,勋绩,adj,1.0,1.0,PH,5,1,,,,,
58,雅淡,adj,1.0,1.0,PH,5,1,,,,,
59,雅兴,adj,1.0,1.0,PH,5,1,,,,,
60,严整,adj,1.0,1.0,PH,5,1,,,,,
61,泱泱,adj,1.0,1.0,PH,5,1,,,,,
62,怡悦,adj,1.0,1.0,PA,5,1,,,,,
63,义诊,noun,1.0,1.0,PH,5,1,,,,,
64,英发,noun,1.0,1.0,PH,5,1,,,,,
65,英伟,adj,1.0,1.0,PH,5,1,,,,,
66,莹润,adj,1.0,1.0,PH,3,1,,,,,
67,勇健,adj,1.0,1.0,PH,3,1,,,,,
68,优厚,adj,1.0,1.0,PH,5,1,,,,,
69,幽雅,adj,1.0,1.0,PH,5,1,,,,,
70,有识,adj,1.0,1.0,PH,5,1,,,,,
71,友邻,adj,1.0,1.0,PH,5,1,PB,3.0,1.0,,
72,玉人,adj,1.0,1.0,PH,5,1,,,,,
73,元勋,adj,1.0,1.0,PH,5,1,,,,,
74,佳句,noun,1.0,1.0,PH,7,1,PD,1.0,1.0,,
75,佳趣,noun,1.0,1.0,PH,5,1,PB,3.0,1.0,,
76,兼爱,noun,1.0,1.0,PH,3,1,,,,,
77,坚守,verb,1.0,1.0,PH,7,1,PD,5.0,1.0,,
78,简雅,adj,1.0,1.0,PH,5,1,,,,,
79,荐举,verb,1.0,1.0,PG,7,1,PD,3.0,1.0,,
80,见称,verb,1.0,1.0,PH,7,1,,,,,
81,见闻,noun,1.0,1.0,PH,1,1,,,,,
82,奖旗,noun,1.0,1.0,PH,3,1,PA,1.0,1.0,,
83,奖许,verb,1.0,1.0,PH,7,1,PG,3.0,1.0,,
84,姣丽,adj,1.0,1.0,PH,5,1,PB,3.0,1.0,,
85,娇丽,adj,1.0,1.0,PH,5,1,PA,1.0,1.0,,
86,骄子,noun,1.0,1.0,PH,5,1,,,,,
87,解惑,verb,1.0,1.0,PH,3,1,PA,1.0,1.0,,
88,津要,noun,1.0,1.0,PH,5,1,,,,,
89,金嗓子,noun,1.0,1.0,PH,3,1,PB,3.0,1.0,,
90,匀净,adj,1.0,1.0,PH,3,1,,,,,
91,赞词,adj,1.0,1.0,PH,3,1,,,,,
92,真纯,adj,1.0,1.0,PH,3,1,,,,,
93,箴言,noun,1.0,1.0,PH,5,1,,,,,
94,珍玩,noun,1.0,1.0,PB,7,1,,,,,
95,正理,noun,1.0,1.0,PH,5,1,,,,,
96,指导,verb,1.0,1.0,PD,3,1,,,,,
97,至理,noun,1.0,1.0,PG,7,1,PH,7.0,1.0,,
98,致敬,verb,1.0,1.0,PD,5,1,,,,,
99,智多星,noun,1.0,1.0,PH,5,1,,,,,
100,忠魂,noun,1.0,1.0,PD,7,1,PH,7.0,1.0,,
101,主力军,noun,1.0,1.0,PH,5,1,,,,,
102,准绳,noun,1.0,1.0,PH,5,1,,,,,
103,卓特,adj,1.0,1.0,PH,7,1,,,,,
104,进益,verb,1.0,1.0,PA,5,1,PH,3.0,1.0,,
105,奏凯,verb,1.0,1.0,PA,5,1,,,,,
106,尊服,verb,1.0,1.0,PD,3,1,PG,7.0,1.0,,
107,尽瘁,verb,1.0,1.0,PH,5,1,PD,5.0,1.0,,
108,精白,adj,1.0,1.0,PH,3,1,,,,,
109,精洁,adj,1.0,1.0,PH,7,1,PB,3.0,1.0,,
110,精妙,adj,1.0,1.0,PH,5,1,,,,,
111,精髓,adj,1.0,1.0,PH,7,1,PB,3.0,1.0,,
112,精要,adj,1.0,1.0,PH,3,1,,,,,
113,晶洁,adj,1.0,1.0,PH,5,1,PB,5.0,1.0,,
114,景观,noun,1.0,1.0,PH,5,1,PB,1.0,1.0,,
115,敬信,verb,1.0,1.0,PD,7,1,PG,5.0,1.0,,
116,救亡,verb,1.0,1.0,PH,1,1,,,,,
117,据实,verb,1.0,1.0,PG,1,1,,,,,
118,眷怀,verb,1.0,1.0,PB,5,1,PF,3.0,1.0,,
119,哀鸿遍野,idiom,1.0,1.0,NB,7,2,NC,1.0,2.0,,
120,肮里肮脏,idiom,1.0,1.0,NN,5,2,,,,,
121,冰炭不相容,idiom,1.0,1.0,ND,9,0,,,,,
122,英姿飒爽,idiom,1.0,1.0,PH,9,1,PB,3.0,1.0,,
123,有礼,adj,1.0,1.0,PH,9,1,,,,,
124,易如反掌,adj,1.0,1.0,PH,9,1,PG,3.0,1.0,,
125,为人正直,idiom,1.0,1.0,PH,9,1,PG,3.0,1.0,,
126,心地纯良,idiom,1.0,1.0,PH,9,1,PB,5.0,1.0,,
127,不成话,adj,1.0,1.0,NN,5,2,,,,,
128,昭然若揭,idiom,1.0,1.0,NN,9,2,ND,5.0,2.0,,
129,有口无心,idiom,1.0,1.0,NN,9,2,,,,,
131,不干不净,idiom,1.0,1.0,NN,3,2,,,,,
132,异彩纷呈,idiom,1.0,1.0,PH,9,1,PA,7.0,1.0,,
133,学富五车,idiom,1.0,1.0,PH,9,1,,,,,
134,心灵美,prep,1.0,1.0,PH,9,1,,,,,
135,香馥馥,idiom,1.0,1.0,PH,9,1,PA,9.0,1.0,,
138,索然寡味,idiom,1.0,1.0,NN,9,2,NK,5.0,2.0,,
139,死板板,adj,1.0,1.0,NN,9,2,,,,,
140,松垮垮,adj,1.0,1.0,NN,9,2,ND,5.0,2.0,,
141,危在旦夕,idiom,1.0,1.0,NC,9,2,,,,,
142,无纪律,adj,1.0,1.0,NN,9,2,ND,7.0,2.0,,
144,险峭,verb,1.0,1.0,NN,1,2,NC,9.0,2.0,,
145,不明不白,idiom,1.0,1.0,NE,5,2,NN,3.0,2.0,,
146,不清不白,idiom,1.0,1.0,NN,7,2,,,,,
148,不雅,adj,1.0,1.0,NN,3,2,,,,,
149,不足为外人道,idiom,1.0,1.0,NN,3,2,,,,,
151,玄妙,adj,1.0,1.0,NN,9,2,,,,,
152,长长短短,idiom,1.0,1.0,NN,3,0,,,,,
153,罪恶多端,idiom,1.0,1.0,ND,9,2,,,,,
154,皱巴,prep,1.0,1.0,ND,9,2,,,,,
155,朝不谋夕,idiom,1.0,1.0,NB,5,0,,,,,
156,逞性子,verb,1.0,1.0,NN,7,2,,,,,
157,臭名昭彰,idiom,1.0,1.0,NN,9,2,,,,,
158,寸草不生,idiom,1.0,1.0,NB,1,0,,,,,
159,哀梨蒸食,idiom,1.0,1.0,NN,7,2,,,,,
160,刀光剑影,idiom,1.0,1.0,NC,3,0,,,,,
162,翻云覆雨,idiom,1.0,1.0,NN,5,2,,,,,
163,风刀霜剑,idiom,1.0,1.0,NB,3,0,,,,,
165,高不成低不就,idiom,1.0,1.0,NN,3,2,,,,,
166,孤单单,adj,1.0,1.0,NB,5,2,,,,,
167,寡断,adj,1.0,1.0,NN,7,2,,,,,
168,乖剌,adj,1.0,1.0,NN,7,2,,,,,
169,含糊不清,idiom,1.0,1.0,NN,5,2,NE,3.0,2.0,,
170,毫不客气,idiom,1.0,1.0,NN,5,2,,,,,
171,黑森森,adj,1.0,1.0,NC,5,0,NE,3.0,2.0,,
172,胡子拉碴,idiom,1.0,1.0,NN,3,2,,,,,
173,荒诞派,noun,1.0,1.0,NN,7,2,,,,,
174,荒淫无度,idiom,1.0,1.0,NN,9,2,,,,,
175,灰蒙蒙,adj,1.0,1.0,NE,1,0,,,,,
176,智能型,noun,1.0,1.0,PH,5,1,,,,,
177,晦暝,adj,1.0,1.0,NC,7,2,NN,3.0,2.0,,
178,谆谆,adj,1.0,1.0,PD,5,1,,,,,
179,昏黑,adj,1.0,1.0,NE,3,2,,,,,
180,铮亮,adj,1.0,1.0,PH,3,1,,,,,
181,鸾凤和鸣,idiom,1.0,1.0,PA,5,1,,,,,
182,板脸,verb,1.0,1.0,NE,5,0,,,,,
183,抱疚,adj,1.0,1.0,NH,3,2,,,,,
185,愁惨,adj,1.0,1.0,NE,5,2,,,,,
186,错愕,verb,1.0,1.0,PC,7,2,,,,,
187,掉魂,verb,1.0,1.0,NE,7,2,,,,,
188,发牢骚,verb,1.0,1.0,NE,3,2,,,,,
189,烦神,adj,1.0,1.0,NE,5,2,,,,,
190,忿忿不平,adj,1.0,1.0,,5,2,,,,,
191,惶然不安,idiom,1.0,1.0,NC,5,2,NI,3.0,2.0,,
192,急死,adj,1.0,1.0,NE,7,2,,,,,
193,介意,adj,1.0,1.0,NE,3,0,,,,,
194,举棋不定,idiom,1.0,1.0,NE,5,0,,,,,
195,口诛笔伐,verb,1.0,1.0,NN,5,2,,,,,
198,怒火冲天,idiom,1.0,1.0,,7,0,,,,,
199,气愤愤,adj,1.0,1.0,,5,0,,,,,
200,歉然,verb,1.0,1.0,NN,3,0,,,,,
202,数落,verb,1.0,1.0,NN,3,0,,,,,
203,痛责,verb,1.0,1.0,NN,5,0,,,,,
205,杏眼圆睁,adj,1.0,1.0,PH,3,1,,,,,
206,讶然失色,idiom,1.0,1.0,PC,7,0,,,,,
207,怔神儿,adj,1.0,1.0,PC,3,0,,,,,
208,追悔莫及,idiom,1.0,1.0,NH,7,0,,,,,
209,彷徨,verb,1.0,1.0,NE,5,0,,,,,
210,爱上,verb,1.0,1.0,PB,5,0,,,,,
211,高山仰止,idiom,1.0,1.0,PD,7,0,,,,,
212,恨不得,verb,1.0,1.0,NE,7,0,,,,,
213,祭拜,verb,1.0,1.0,PD,5,0,,,,,
214,敬服,verb,1.0,1.0,PD,5,0,,,,,
215,看上眼,adj,1.0,1.0,PB,3,0,,,,,
216,梦魂萦绕,idiom,1.0,1.0,PF,7,0,,,,,
217,安好,adj,1.0,1.0,PE,1,1,,,,,
218,如痴如狂,idiom,1.0,1.0,PB,7,0,,,,,
219,安泰,adj,1.0,1.0,PH,1,1,,,,,
220,叹为观止,idiom,1.0,1.0,PC,7,1,,,,,
221,忘乎所以,idiom,1.0,1.0,NN,5,0,,,,,
222,尖嘴薄舌,idiom,1.0,1.0,NN,5,2,,,,,
223,艰苦卓绝,idiom,1.0,1.0,PH,7,1,PG,3.0,1.0,,
224,心如铁石,idiom,1.0,1.0,NN,7,2,NE,3.0,2.0,,
225,见风转舵,idiom,1.0,1.0,NN,7,2,ND,5.0,2.0,,
226,叩拜,verb,1.0,1.0,PD,5,0,,,,,
227,倍儿棒,adj,1.0,1.0,PH,7,1,PB,5.0,1.0,,
228,竭蹶,prep,1.0,1.0,NE,7,0,,,,,
229,彪壮,adj,1.0,1.0,ND,1,0,,,,,
230,博闻广识,idiom,1.0,1.0,PH,5,1,,,,,
232,不落俗套,idiom,1.0,1.0,PH,5,1,NN,1.0,2.0,,
233,可骇,adj,1.0,1.0,NC,9,2,,,,,
235,才气横溢,idiom,1.0,1.0,PH,7,1,NN,1.0,2.0,,
236,空落落,adj,1.0,1.0,NB,7,0,,,,,
237,枯寂,adj,1.0,1.0,NN,5,2,NB,5.0,2.0,,
238,苦口,adj,1.0,1.0,NB,7,0,,,,,
239,狂恣,adj,1.0,1.0,NN,9,2,,,,,
240,老辣,adj,1.0,1.0,NN,5,2,,,,,
241,肋脦,adj,1.0,1.0,NN,7,2,ND,5.0,2.0,,
242,哩哩罗罗,idiom,1.0,1.0,NN,3,2,,,,,
243,凛然,adj,1.0,1.0,PH,7,1,PD,3.0,1.0,,
244,伶仃,adj,1.0,1.0,NB,7,0,,,,,
246,碌碌无为,idiom,1.0,1.0,NN,7,2,ND,5.0,2.0,,
247,马马虎虎,idiom,1.0,1.0,NN,5,2,,,,,
248,莽莽撞撞,idiom,1.0,1.0,NN,5,2,,,,,
249,没骨头,prep,1.0,1.0,NN,7,2,ND,3.0,2.0,,
251,没心眼儿,idiom,1.0,1.0,NN,3,2,,,,,
252,迷糊,adj,1.0,1.0,NE,5,0,NN,3.0,2.0,,
253,模棱两可,idiom,1.0,1.0,NN,5,2,,,,,
254,少见多怪,idiom,1.0,1.0,NN,3,2,,,,,
255,难上难,adj,1.0,1.0,NE,5,2,,,,,
256,一塌糊涂,adj,1.0,1.0,NN,9,2,,,,,
259,一级,adj,1.0,1.0,PH,9,1,,,,,
260,有头脑,adj,1.0,1.0,PH,9,1,,,,,
261,欣欣向荣,adj,1.0,1.0,PH,9,1,,,,,
262,难驯服,prep,1.0,1.0,NN,3,2,,,,,
263,闹闹嚷嚷,idiom,1.0,1.0,NN,7,2,NE,5.0,2.0,,
264,贫寒,adj,1.0,1.0,NB,3,0,,,,,
265,铺张浪费,idiom,1.0,1.0,NN,7,2,,,,,
266,奇丑无比,idiom,1.0,1.0,NN,9,2,,,,,
267,气壮如牛,idiom,1.0,1.0,PH,3,1,,,,,
268,清苦,adj,1.0,1.0,NB,5,0,,,,,
269,穷途潦倒,idiom,1.0,1.0,NN,7,2,NB,3.0,2.0,,
271,弱智,adj,1.0,1.0,NN,9,2,,,,,
272,色迷迷,adj,1.0,1.0,NN,9,2,ND,5.0,2.0,,
273,傻里傻气,idiom,1.0,1.0,NN,5,2,,,,,
275,失落,adj,1.0,1.0,,7,0,NB,7.0,2.0,,
276,食古不化,idiom,1.0,1.0,NN,7,2,,,,,
277,喧天,prep,1.0,1.0,NE,9,2,,,,,
278,丰姿绰约,idiom,1.0,1.0,PH,5,1,PB,3.0,1.0,,
279,捉摸不定,idiom,1.0,1.0,NN,9,2,PH,1.0,1.0,,
280,特等,adj,1.0,1.0,PA,5,0,PH,9.0,1.0,,
281,肝胆过人,idiom,1.0,1.0,PH,3,1,,,,,
282,高档化,noun,1.0,1.0,PH,3,1,,,,,
283,高深莫测,idiom,1.0,1.0,PH,1,0,,,,,
284,革命性,noun,1.0,1.0,PH,3,1,,,,,
285,功德无量,idiom,1.0,1.0,PH,7,1,,,,,
286,古朴,adj,1.0,1.0,PB,3,1,PH,1.0,1.0,,
287,过得硬,adj,1.0,1.0,PH,3,1,,,,,
289,数一数二,idiom,1.0,1.0,PH,7,1,,,,,
290,花容月貌,idiom,1.0,1.0,PH,5,1,PB,3.0,1.0,,
291,受吃,adj,1.0,1.0,PB,3,1,,,,,
292,史无前例,idiom,1.0,1.0,PH,7,1,,,,,
293,圣礼,noun,1.0,1.0,PD,9,0,,,,,
294,滑天下之大稽,idiom,1.0,1.0,NN,7,2,,,,,
295,生死不渝,idiom,1.0,1.0,PH,7,0,,,,,
296,深入人心,idiom,1.0,1.0,PH,5,1,,,,,
297,擅场,verb,1.0,1.0,PH,9,1,,,,,
298,上赶,verb,1.0,1.0,NN,7,2,,,,,
299,井然有序,idiom,1.0,1.0,PH,5,1,,,,,
300,举足轻重,idiom,1.0,1.0,PH,5,1,,,,,
301,人寿年丰,idiom,1.0,1.0,PH,7,1,,,,,
302,俊俏,adj,1.0,1.0,PH,5,1,,,,,
303,确凿无疑,idiom,1.0,1.0,PG,9,0,,,,,
304,确定,adj,1.0,1.0,PG,9,0,,,,,
305,老成练达,idiom,1.0,1.0,PH,3,3,NN,1.0,3.0,,
306,鼠胆,adj,1.0,1.0,NN,9,2,,,,,
307,强势,adj,1.0,1.0,PH,1,0,,,,,
308,浅显,adj,1.0,1.0,NN,1,0,,,,,
311,千姿百态,idiom,1.0,1.0,PH,7,1,PB,5.0,1.0,,
313,起眼儿,prep,1.0,1.0,PH,1,0,,,,,
314,越轨,prep,1.0,1.0,NN,9,2,,,,,
316,完美无疵,idiom,1.0,1.0,PH,9,1,,,,,
317,朴实无华,adj,1.0,1.0,PH,3,1,,,,,
318,无上光荣,idiom,1.0,1.0,PH,9,1,PB,3.0,1.0,,
319,有嘴无心,idiom,1.0,1.0,PH,9,1,,,,,
320,逸乐,prep,1.0,1.0,PH,9,1,,,,,
321,心宽,prep,1.0,1.0,PH,9,1,,,,,
322,无污染,prep,1.0,1.0,PH,9,1,,,,,
323,无拘束,prep,1.0,1.0,PH,9,1,,,,,
324,闻过则喜,idiom,1.0,1.0,PH,9,1,,,,,
326,名副其实,idiom,1.0,1.0,PH,5,1,,,,,
327,喷香,adj,1.0,1.0,PB,3,1,PH,3.0,1.0,,
328,哀莫大于心死,idiom,1.0,1.0,NB,9,2,,,,,
329,安邦定国,idiom,1.0,1.0,PH,9,1,,,,,
330,金瓯无缺,idiom,1.0,1.0,PH,7,1,PE,9.0,1.0,,
331,我武惟扬,idiom,1.0,1.0,PH,9,1,PE,5.0,1.0,,
332,乃心王室,idiom,1.0,1.0,PH,9,1,PE,5.0,1.0,,
333,尽忠报国,idiom,1.0,1.0,PH,9,1,PE,5.0,1.0,,
335,忧国忘身,idiom,1.0,1.0,PH,9,1,PE,5.0,1.0,,
336,济世经邦,idiom,1.0,1.0,PH,9,1,PE,5.0,1.0,,
337,兴利除弊,idiom,1.0,1.0,PH,9,1,PD,1.0,1.0,,
338,猫鼠同处,idiom,1.0,1.0,ND,9,2,NN,3.0,2.0,,
339,四海鼎沸,idiom,1.0,1.0,NE,7,2,,,,,
341,委国听令,idiom,1.0,1.0,NN,9,2,,,,,
342,国步艰难,idiom,1.0,1.0,NB,7,2,NN,7.0,2.0,,
343,立国安邦,idiom,1.0,1.0,PH,9,1,,,,,
344,溽热,adj,1.0,1.0,NN,1,2,NE,1.0,2.0,,
345,欢快,adj,1.0,1.0,PA,5,1,,,,,
346,如意,adj,1.0,1.0,PA,3,1,,,,,
347,得志,adj,1.0,1.0,PA,3,1,,,,,
348,好日子,noun,1.0,1.0,PH,5,1,PA,3.0,1.0,,
349,欢娱,adj,1.0,1.0,PA,5,1,,,,,
350,庆幸,verb,1.0,1.0,PA,3,1,,,,,
351,喜气,noun,1.0,1.0,PA,5,1,,,,,
352,兴高采烈,adj,1.0,1.0,PA,7,1,,,,,
353,快意,adj,1.0,1.0,PA,5,1,,,,,
354,艳福,noun,1.0,1.0,PA,5,0,,,,,
355,乐陶陶,adj,1.0,1.0,PA,5,1,,,,,
356,逗人,adj,1.0,1.0,PA,5,1,PB,5.0,1.0,,
357,眉开眼笑,adj,1.0,1.0,PA,5,1,,,,,
358,笑逐言开,adj,1.0,1.0,PA,5,1,,,,,
359,距跃三百,adj,1.0,1.0,PA,7,1,,,,,
360,鹊笑鸠舞,idiom,1.0,1.0,PA,7,1,,,,,
361,神采飞扬,adj,1.0,1.0,PA,5,1,,,,,
362,忍俊不禁,idiom,1.0,1.0,PA,5,0,,,,,
363,嫣然,adj,1.0,1.0,PA,5,1,,,,,
364,笑噱,verb,1.0,1.0,PA,5,0,,,,,
365,和颜悦色,idiom,1.0,1.0,PA,5,1,,,,,
366,胡敲梆子乱击磬－欢喜若狂,idiom,1.0,1.0,PA,9,0,,,,,
368,侥幸,adj,1.0,1.0,PA,3,0,,,,,
369,五世其昌,idiom,1.0,1.0,PK,5,1,,,,,
370,安乐窝,noun,1.0,1.0,PA,3,1,,,,,
371,偏爱,verb,1.0,1.0,PB,7,0,,,,,
372,挂牵,verb,1.0,1.0,PB,3,1,,,,,
373,偏疼,verb,1.0,1.0,NN,3,2,,,,,
374,娇惯,verb,1.0,1.0,NN,5,2,,,,,
375,流连,verb,1.0,1.0,PB,5,0,,,,,
376,顾惜,verb,1.0,1.0,PB,3,0,,,,,
377,垂爱,verb,1.0,1.0,PB,5,0,,,,,
378,乐此不疲,idiom,1.0,1.0,PB,5,0,PA,7.0,1.0,,
379,兴味,noun,1.0,1.0,PB,3,0,,,,,
380,稀罕,adj,1.0,1.0,PB,5,1,,,,,
381,一见钟情,idiom,1.0,1.0,PB,7,0,,,,,
382,挺拔,adj,1.0,1.0,PH,5,1,,,,,
383,歆慕,verb,1.0,1.0,PB,3,0,,,,,
384,心动,adj,1.0,1.0,PB,3,0,,,,,
385,温顺,adj,1.0,1.0,PH,1,1,,,,,
386,不忍释手,idiom,1.0,1.0,PB,7,1,,,,,
387,眷注,verb,1.0,1.0,PB,3,0,,,,,
388,束身自修,idiom,1.0,1.0,PB,1,1,PH,3.0,1.0,,
389,难舍难分,idiom,1.0,1.0,PB,5,1,,,,,
390,老牛舔犊,idiom,1.0,1.0,PB,7,1,,,,,
391,渴望,verb,1.0,1.0,PK,7,0,,,,,
392,热望,noun,1.0,1.0,PK,5,0,,,,,
393,乖乖,noun,1.0,1.0,PB,5,1,,,,,
394,和暖,adj,1.0,1.0,PH,3,1,,,,,
395,温软,adj,1.0,1.0,PH,1,1,,,,,
396,温情脉脉,adj,1.0,1.0,PB,5,1,,,,,
397,可口,adj,1.0,1.0,PH,1,1,,,,,
398,奇妙,adj,1.0,1.0,PC,5,0,,,,,
399,尊崇,verb,1.0,1.0,PD,9,1,,,,,
400,崇敬,verb,1.0,1.0,PD,7,1,,,,,
401,称颂,verb,1.0,1.0,PH,5,1,,,,,
402,传颂,verb,1.0,1.0,PH,5,1,,,,,
403,颂扬,verb,1.0,1.0,PD,7,1,PH,3.0,1.0,,
404,先烈,noun,1.0,1.0,PF,3,1,PD,5.0,1.0,,
405,恭谨,adj,1.0,1.0,PD,5,1,,,,,
406,万寿无疆,idiom,1.0,1.0,PK,5,1,PD,5.0,1.0,,
407,福寿年高,idiom,1.0,1.0,PK,3,1,PD,3.0,1.0,,
408,老前辈,noun,1.0,1.0,PD,5,0,,,,,
409,从善如流,adj,1.0,1.0,PH,5,1,,,,,
410,尊贵,adj,1.0,1.0,PD,5,1,PH,1.0,1.0,,
411,拜恳,verb,1.0,1.0,PK,3,1,,,,,
412,鼻祖,noun,1.0,1.0,PD,7,1,PG,3.0,1.0,,
413,和婉,adj,1.0,1.0,PH,3,1,,,,,
414,怡和,adj,1.0,1.0,PA,3,0,,,,,
415,和顺,adj,1.0,1.0,PH,5,1,PE,1.0,1.0,,
416,娴静,adj,1.0,1.0,PE,1,1,PH,1.0,1.0,,
417,安逸,adj,1.0,1.0,PA,3,0,PE,1.0,1.0,,
418,安居乐业,adj,1.0,1.0,PE,5,1,PA,3.0,1.0,,
419,安适,noun,1.0,1.0,PE,5,1,PA,1.0,1.0,,
420,思念,verb,1.0,1.0,PF,5,0,,,,,
421,望眼欲穿,idiom,1.0,1.0,PF,9,1,,,,,
422,引人深思,idiom,1.0,1.0,PF,3,0,PH,1.0,1.0,,
423,妥靠,adj,1.0,1.0,PG,3,1,,,,,
424,铁定,adv,1.0,1.0,PG,9,0,NN,1.0,2.0,,
425,活脱脱,adj,1.0,1.0,PH,5,1,,,,,
426,白璧无暇,adj,1.0,1.0,PH,9,1,,,,,
427,标兵,noun,1.0,1.0,PH,5,1,,,,,
428,不同凡响,adj,1.0,1.0,PH,9,1,,,,,
429,诚挚,adj,1.0,1.0,PH,5,1,PG,7.0,1.0,,
430,出色,adj,1.0,1.0,PH,5,1,,,,,
431,恳挚,adj,1.0,1.0,PH,5,1,PG,5.0,1.0,,
432,令人鼓舞,adj,1.0,1.0,PH,5,1,,,,,
433,豪兴,adj,1.0,1.0,PH,7,1,,,,,
434,善始善终,adj,1.0,1.0,PH,5,1,,,,,
435,果断,adj,1.0,1.0,PH,5,1,,,,,
436,机智,adj,1.0,1.0,PH,5,1,PB,5.0,1.0,,
437,健美,adj,1.0,1.0,PH,1,1,,,,,
438,侃侃而谈,verb,1.0,1.0,PH,3,1,,,,,
439,淳朴,adj,1.0,1.0,PH,5,1,,,,,
440,大显神通,idiom,1.0,1.0,PH,5,1,PA,5.0,1.0,,
441,动听,adj,1.0,1.0,PH,5,1,PB,3.0,1.0,,
442,丰碑,noun,1.0,1.0,PH,7,1,PD,3.0,1.0,,
443,刚毅,adj,1.0,1.0,PH,5,1,,,,,
444,夸奖,verb,1.0,1.0,PH,5,1,,,,,
445,肯切,adj,1.0,1.0,PH,3,1,,,,,
446,力挽狂澜,idiom,1.0,1.0,PH,7,1,,,,,
447,流芳百世,adj,1.0,1.0,PH,9,1,PD,5.0,1.0,,
448,美不胜收,adj,1.0,1.0,PH,5,1,,,,,
449,感人肺腑,adj,1.0,1.0,PH,3,1,,,,,
450,敏捷,adj,1.0,1.0,PH,5,1,,,,,
451,能干,adj,1.0,1.0,PH,5,1,,,,,
452,果敢,adj,1.0,1.0,PH,5,1,,,,,
453,挺秀,adj,1.0,1.0,PH,5,1,,,,,
454,娇娆,adj,1.0,1.0,PH,5,1,,,,,
455,妙趣横生,adj,1.0,1.0,PA,3,1,PH,5.0,1.0,,
456,披荆斩棘,idiom,1.0,1.0,PH,7,1,,,,,
457,气吞山河,adj,1.0,1.0,PH,7,1,,,,,
458,前赴后继,idiom,1.0,1.0,PH,7,1,,,,,
459,勤勉,adj,1.0,1.0,PH,1,1,,,,,
460,热诚,adj,1.0,1.0,PH,5,1,,,,,
