,词语,词性种类,词义数,词义序号,情感分类,强度,极性,辅助情感分类,强度.1,极性.1,Unnamed: 10,Unnamed: 11
2633,逃之夭夭,idiom,1.0,1.0,NN,5,2,,,,,
2634,虚张声势,idiom,1.0,1.0,ND,5,2,NN,5.0,2.0,,
2635,素口骂人,idiom,1.0,1.0,ND,5,2,NN,5.0,2.0,,
2636,推波作浪,idiom,1.0,1.0,ND,5,2,,,,,
2639,黑云压城城欲摧,idiom,1.0,1.0,NI,7,0,,,,,
2641,耳视目食,idiom,1.0,1.0,NN,5,2,,,,,
2643,势不俱栖,idiom,1.0,1.0,NE,5,2,ND,3.0,2.0,,
2644,心腹之患,idiom,1.0,1.0,NC,5,2,,,,,
2645,束手就擒,idiom,1.0,1.0,NN,5,2,,,,,
2646,情见势屈,idiom,1.0,1.0,NC,5,0,,,,,
2647,矫枉过正,idiom,1.0,1.0,NN,5,2,,,,,
2648,今非昔比,idiom,1.0,1.0,PH,5,1,,,,,
2649,斗升之水,idiom,1.0,1.0,NN,3,0,,,,,
2650,自相水火,idiom,1.0,1.0,NN,7,2,,,,,
2651,望文生义,idiom,1.0,1.0,NN,5,2,,,,,
2652,冒名顶替,idiom,1.0,1.0,NN,5,2,,,,,
2653,柔茹刚吐,idiom,1.0,1.0,NN,5,2,ND,5.0,2.0,,
2654,肆意妄为,idiom,1.0,1.0,NN,7,2,ND,5.0,2.0,,
2655,鸠占鹊巢,idiom,1.0,1.0,NN,7,2,,,,,
2656,安不忘危,idiom,1.0,1.0,PH,3,1,,,,,
2657,不今不古,idiom,1.0,1.0,NN,3,2,,,,,
2659,钻故纸堆,idiom,1.0,1.0,NN,3,2,,,,,
2660,拉拉扯扯,idiom,1.0,1.0,NN,3,2,,,,,
2661,惹祸招灾,idiom,1.0,1.0,NN,5,2,ND,3.0,2.0,,
2662,招是惹非,idiom,1.0,1.0,NN,5,2,,,,,
2663,轩然大波,idiom,1.0,1.0,NN,7,2,,,,,
2664,春蚕自缚,idiom,1.0,1.0,NN,5,2,,,,,
2665,谏争如流,idiom,1.0,1.0,PH,5,1,,,,,
2666,孤行几见,idiom,1.0,1.0,NN,5,2,,,,,
2667,竭尽全力,idiom,1.0,1.0,PH,7,1,,,,,
2668,敷衍了事,idiom,1.0,1.0,NN,5,2,,,,,
2669,以身试法,idiom,1.0,1.0,NN,5,2,,,,,
2671,春意盎然,idiom,1.0,1.0,PB,5,1,PA,5.0,1.0,,
2672,莺歌燕舞,idiom,1.0,1.0,PB,9,1,PA,5.0,1.0,,
2673,晓风残月,idiom,1.0,1.0,NB,3,2,,,,,
2674,鱼米之乡,idiom,1.0,1.0,PB,5,1,PA,3.0,1.0,,
2675,茂林修竹,idiom,1.0,1.0,PB,5,1,PA,1.0,1.0,,
2676,水木明瑟,idiom,1.0,1.0,PB,7,1,PH,3.0,1.0,,
2677,五彩缤纷,idiom,1.0,1.0,PB,5,1,,,,,
2678,打落水狗,idiom,1.0,1.0,ND,7,2,ND,3.0,2.0,,
2679,索垢寻疵,idiom,1.0,1.0,NN,7,2,,,,,
2681,举鼎绝膑,idiom,1.0,1.0,NN,5,2,NE,5.0,2.0,,
2682,惺惺作态,idiom,1.0,1.0,ND,7,2,,,,,
2683,官逼民反,idiom,1.0,1.0,NN,7,2,,,,,
2684,据理力争,idiom,1.0,1.0,PH,1,1,,,,,
2685,一日之长,idiom,1.0,1.0,PH,5,1,,,,,
2686,八斗才,idiom,1.0,1.0,PH,5,1,,,,,
2687,初露锋芒,idiom,1.0,1.0,PH,5,1,,,,,
2688,金声玉振,idiom,1.0,1.0,PH,9,1,PD,7.0,1.0,,
2689,乱世英雄,idiom,1.0,1.0,PH,9,1,,,,,
2690,奇才异能,idiom,1.0,1.0,PH,5,1,PD,3.0,1.0,,
2691,嵩生岳降,idiom,1.0,1.0,PH,7,1,,,,,
2692,雄才大略,idiom,1.0,1.0,PH,9,1,,,,,
2693,博而不精,idiom,1.0,1.0,NN,3,2,,,,,
2694,登堂入室,idiom,1.0,1.0,PH,7,1,,,,,
2696,吴下阿蒙,idiom,1.0,1.0,NN,5,2,,,,,
2698,烈火见真金,idiom,1.0,1.0,PH,5,1,,,,,
2699,步步登高,idiom,1.0,1.0,PA,3,1,,,,,
2700,青云直上,idiom,1.0,1.0,PA,7,1,PD,5.0,1.0,,
2701,出凡入圣,idiom,1.0,1.0,PH,9,1,,,,,
2702,生荣死哀,idiom,1.0,1.0,PD,7,1,,,,,
2703,操刀伤锦,idiom,1.0,1.0,NN,5,2,,,,,
2704,志大才疏,idiom,1.0,1.0,NN,5,2,,,,,
2705,土牛石田,idiom,1.0,1.0,NN,5,2,,,,,
2706,贼人胆虚,idiom,1.0,1.0,NN,5,2,,,,,
2707,眉目如画,idiom,1.0,1.0,PH,5,1,,,,,
2708,时运亨通,idiom,1.0,1.0,PA,7,1,,,,,
2709,陶然而醉,idiom,1.0,1.0,PA,5,1,PB,3.0,1.0,,
2710,大家闺秀,idiom,1.0,1.0,PH,5,1,,,,,
2711,青天霹雳,idiom,1.0,1.0,PC,7,0,,,,,
2712,严师出高徒,idiom,1.0,1.0,PH,5,1,,,,,
2713,平生愿足,idiom,1.0,1.0,PE,7,1,,,,,
2714,十之八九,idiom,1.0,1.0,PG,7,1,,,,,
2715,自力更生,idiom,1.0,1.0,PH,5,1,,,,,
2716,老马嘶风,idiom,1.0,1.0,PH,3,1,,,,,
2717,锦绣前程,idiom,1.0,1.0,PH,9,1,,,,,
2718,六畜兴旺,idiom,1.0,1.0,PH,7,1,,,,,
2719,一举两得,idiom,1.0,1.0,PH,5,1,,,,,
2720,功均天地,idiom,1.0,1.0,PH,9,1,,,,,
